Statements in Highest 5 Percent by Runtime,,,,,,,,,,,,
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Maximum Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Digest
ALTER TABLE `chompy_tips_photos` . `tip` ADD INDEX `user_id_idx` ( `user_id` ASC ) ,,1,0,0,38074781,38074781,38074781,0,0,0,0,f41e5d0478543710adf31a58efe25fa3
ALTER TABLE `chompy_tips_photos` . `photo` ADD INDEX `photo_id_idx` ( `photo_id` ASC ) ,,1,0,0,28576551,28576551,28576551,0,0,0,0,d8909d800a38a923af85feebdff25716
SELECT * FROM `tip` WHERE `business_id` = ? LIMIT ? ,*,9,0,0,41031498,7961986,4559055.33,9,1,42666100,4740678,d4d1d59a20d1bbddb948ebaddbb9201b
